task,method,rank,seed,epochs,lr,batch_size,max_length,alpha,dropout,use_fixed,use_spline,activation,num_basis,replaced_layers,trainable_params,total_params,trainable_percent,time_min,eval_loss,eval_accuracy,eval_f1,eval_main_score,eval_matthews_correlation
mrpc,lora,2,0,3,0.0008,32,256,4,0.0,False,False,tanh,8,24,665858,124720898,0.5338784523504634,0.9617570400238036,0.6036436557769775,0.7132352941176471,0.8251121076233184,0.7132352941176471,
mrpc,aurora,2,0,3,0.0008,32,256,4,0.0,True,True,tanh,8,24,666338,124721378,0.5342612555162757,1.0054545521736145,0.4003507494926452,0.8186274509803921,0.8754208754208754,0.8186274509803921,
mrpc,lora,2,0,30,0.0008,64,512,4,0.0,False,False,tanh,8,24,665858,124720898,0.5338784523504634,23.938115362326304,0.7183919548988342,0.8578431372549019,0.8993055555555556,0.8578431372549019,
mrpc,aurora,2,0,30,0.0008,64,512,4,0.0,True,True,tanh,8,24,666338,124721378,0.5342612555162757,24.22430476347605,0.3503236472606659,0.8774509803921569,0.9110320284697508,0.8774509803921569,
mrpc,lora,2,0,10,0.0008,32,256,4,0.0,False,False,tanh,8,24,665858,124720898,0.5338784523504634,3.221410326162974,0.373106300830841,0.8578431372549019,0.8989547038327527,0.8578431372549019,
mrpc,lora,8,0,10,0.0008,32,256,4,0.0,False,False,tanh,8,24,887042,124942082,0.7099625568909601,3.2296740293502806,0.4152419865131378,0.8897058823529411,0.9203539823008848,0.8897058823529411,
mrpc,aurora,2,0,10,0.0008,32,256,4,0.0,True,True,tanh,8,24,666338,124721378,0.5342612555162757,3.3475823163986207,0.3263672590255737,0.8676470588235294,0.9028776978417268,0.8676470588235294,
rte,lora,2,0,15,0.0005,16,256,4,0.0,False,False,tanh,8,24,665858,124720898,0.5338784523504634,3.0709349513053894,0.6940732598304749,0.4729241877256318,,0.4729241877256318,
rte,lora,8,0,15,0.0005,16,256,4,0.0,False,False,tanh,8,24,887042,124942082,0.7099625568909601,3.085968029499054,1.2462166547775269,0.7653429602888087,,0.7653429602888087,
rte,aurora,2,0,15,0.0005,16,256,4,0.0,True,True,tanh,8,24,666338,124721378,0.5342612555162757,3.674540483951569,0.6073977947235107,0.6967509025270758,,0.6967509025270758,
cola,lora,2,0,15,0.005,32,256,4,0.0,False,False,tanh,8,24,665858,124720898,0.5338784523504634,11.210559431711832,0.6185240745544434,,,0.0,0.0
cola,lora,8,0,15,0.005,32,256,4,0.0,False,False,tanh,8,24,887042,124942082,0.7099625568909601,11.221533866723378,0.6183014512062073,,,0.0,0.0
cola,aurora,2,0,15,0.005,32,256,4,0.0,True,True,tanh,8,24,666338,124721378,0.5342612555162757,11.633017194271089,0.510448157787323,,,0.6006974680936171,0.6006974680936171
mrpc,lora,2,1,10,0.0008,32,256,4,0.0,False,False,tanh,8,24,665858,124720898,0.5338784523504634,3.1956772724787395,0.4091733396053314,0.8651960784313726,0.9036777583187392,0.8651960784313726,
mrpc,lora,2,2,10,0.0008,32,256,4,0.0,False,False,tanh,8,24,665858,124720898,0.5338784523504634,3.212273375193278,0.3629213869571686,0.8823529411764706,0.916083916083916,0.8823529411764706,
mrpc,lora,8,1,10,0.0008,32,256,4,0.0,False,False,tanh,8,24,887042,124942082,0.7099625568909601,3.234139021237691,0.4125541150569916,0.875,0.9106830122591943,0.875,
mrpc,lora,8,2,10,0.0008,32,256,4,0.0,False,False,tanh,8,24,887042,124942082,0.7099625568909601,3.232697133223216,0.412383884191513,0.8848039215686274,0.9171075837742504,0.8848039215686274,
mrpc,aurora,2,1,10,0.0008,32,256,4,0.0,True,True,tanh,8,24,666338,124721378,0.5342612555162757,3.345108918348948,0.3056212663650512,0.8651960784313726,0.9043478260869564,0.8651960784313726,
mrpc,aurora,2,2,10,0.0008,32,256,4,0.0,True,True,tanh,8,24,666338,124721378,0.5342612555162757,3.3508559107780456,0.3087894320487976,0.8725490196078431,0.9100346020761244,0.8725490196078431,
