task,method,rank,use_fixed,use_spline,activation,mean_score,std_score,mean_trainable_params,mean_trainable_percent,mean_time_min,num_runs
cola,aurora,2,True,True,tanh,0.5956755904172285,0.008634306103614835,666338.0,0.5342612555162757,11.643001696798537,3
cola,lora,2,False,False,tanh,0.0,0.0,665858.0,0.5338784523504634,11.209553860293495,3
cola,lora,8,False,False,tanh,0.0,0.0,887042.0,0.7099625568909601,11.223969025082061,3
mrpc,aurora,2,False,True,tanh,0.7687908496732027,0.0037439343913038534,666338.0,0.5342612555162757,3.3109890116585627,3
mrpc,aurora,2,True,False,tanh,0.8660130718954249,0.007075370945951295,666338.0,0.5342612555162757,3.26021842956543,3
mrpc,aurora,2,True,True,tanh,0.8684640522875817,0.0037439343913037776,666338.0,0.5342612555162757,3.3493106934759354,3
mrpc,lora,2,False,False,tanh,0.8684640522875817,0.012577454508448209,665858.0,0.5338784523504634,3.2097869912783303,3
mrpc,lora,8,False,False,tanh,0.8831699346405228,0.007487868782607555,887042.0,0.7099625568909601,3.2321700612703963,3
rte,aurora,2,True,True,tanh,0.681107099879663,0.036874978209493516,666338.0,0.5342612555162757,3.6803896307945254,3
rte,lora,2,False,False,tanh,0.5270758122743683,0.09379336503080564,665858.0,0.5338784523504634,3.0744614203770957,3
rte,lora,8,False,False,tanh,0.7509025270758123,0.014440433212996373,887042.0,0.7099625568909601,3.08754577504264,3
